key,acousticness,danceability,energy,explicit,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,year,duration_ms
A,0.4405625839442913,0.5344895166780126,0.5266592430791912,0.058883594281824374,0.14372355245688706,0.20283073519400888,-10.857169900158837,33.16156115271159,0.08147749035625101,119.69750703426328,0.549802354776493,1978.8381552076241,4072050780
A#,0.5599972973946565,0.5434335517584632,0.45240889581121313,0.08327803583278036,0.17276481705209054,0.20012739714664982,-11.818514349701434,29.25779694757797,0.09898556735235609,114.41720487723893,0.5356507487558059,1974.430905773059,2806248584
B,0.38865116301520014,0.5650612951949391,0.5468178908713294,0.15340319078636835,0.1358484913121867,0.2185980930803364,-10.588469083356937,34.747191541584066,0.13017800434249013,117.85028802039122,0.5447061002548863,1981.8560370055698,2460058155
C,0.5084025219586977,0.5367501000046513,0.4679606126982645,0.06758453881575888,0.16290047465556626,0.20863732266617113,-11.66104772314988,30.82161961021443,0.08834524861621527,117.07006130517723,0.5331562295920715,1976.134843481092,4964500268
C#,0.4271544506850815,0.5619155274656661,0.5161900329353928,0.18203807740324593,0.15523487417758994,0.2010609706616742,-10.924915652309636,34.787687265917604,0.13061467696629173,115.94349009051149,0.5073012570224721,1981.7839419475656,2986736443
D,0.4725268894251074,0.5249358376281815,0.5036897218213693,0.06492747462940332,0.16222385579140386,0.20942338345465256,-11.253272514744213,31.89729557409277,0.08233971096116073,118.13561415440152,0.5271705286647862,1977.6380107326922,4422049641
D#,0.6691813090173945,0.5009001252609605,0.39529877973555977,0.03743910925539318,0.21448600136395296,0.19141195128740493,-12.612774530271409,24.518858733472513,0.0823857063326374,115.18632915796825,0.5031331941544904,1968.5590814196241,1626666879
E,0.46765858955421563,0.5260944121971989,0.511971992949463,0.0695766581533937,0.15433229026004136,0.21490865258107059,-11.12119139385499,33.16833062456466,0.07986047519541802,117.75065072362825,0.5212224490441906,1978.9503134432318,3002275356
F,0.5739889314666999,0.5327630386875584,0.4445843469331551,0.0576028403525955,0.18185556264813957,0.20651054725759108,-12.01921786238983,28.58912830558276,0.08598303746327128,115.52988142752214,0.5367466674828579,1973.243388834476,3789633407
F#,0.43266778250873544,0.5577591660843219,0.523900489925461,0.13556953179594688,0.1480739588725841,0.2061558467272315,-10.704469019333803,34.766829722804566,0.11805310971348726,115.66589750757038,0.5282098532494747,1981.5078034008852,1975439032
G,0.49167036919882784,0.540108411620178,0.48484427995375107,0.07130124777183601,0.15795020271233884,0.2147333526039415,-11.473240930770336,31.294454882690175,0.08656002794238087,117.27037254902018,0.5457059122223823,1976.8337910102616,4742792979
G#,0.5341337178405361,0.5374336569881439,0.47141746655774314,0.09252170665670806,0.17349301128279407,0.19212921295864152,-11.449904864158345,30.59508916067594,0.09437421342545035,116.02885827653803,0.5248564120997127,1976.2439548128093,2469537541
